ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
1,Military,1,nkill,Hijacking,5731,2291,8.341335661283283,1.6747513522945385,6.666584308988744,0.5934308113002549,0.9912086524683599,0.3676546347258274,6.725712383953939,18.132735669061383,4.6604020523537795e-123,4.660402052372415e-123,,,,6.585148100002223e-118
2,Armed Assault,1,nkill,Hijacking,4801,3221,7.212977336230984,1.1403874192876484,6.072589916943335,0.5401147114265719,1.21695749298072,0.3643897289834073,4.989977013962592,16.665096279977348,3.294574536504812e-120,3.294574536523135e-120,,,,2.327616910053595e-115
3,Firearms,1,nkill,Hijacking,3454,4568,5.732705779334501,0.7298784018529242,5.002827377481577,0.44024559669414615,1.1170097430264148,0.3439178107441856,4.478767896801838,14.546578342820403,5.627012936698949e-83,5.6270129367414496e-83,,,,2.6503230932052226e-78
4,Nicaraguan Democratic Force (FDN),1,nkill,Hijacking,7512,510,13.062745098039215,2.9347710330138446,10.12797406502537,0.8911526433118184,1.0480001064628175,0.39513404128223506,9.664096408548128,25.631742666765565,1.419705138894991e-82,1.4197051389066942e-82,,,,5.015108403187897e-78
5,Assassination,3,success,Hijacking,9090,1254,87.71929824561404,97.67876787678767,-9.959469631173633,0.5483279485881256,0.661382880632468,0.30332193121493806,15.058553710446178,32.83465060136459,6.753892783174511e-73,6.75389278299758e-73,,,,1.9086501004751164e-68
6,Nicaragua,1,nkill,Hijacking,6610,1412,7.5247875354107645,2.7357034795763995,4.7890840558343655,0.4169234255740537,0.5232604046631886,0.25324933359397234,9.152391453958751,18.91054948840486,2.4048803509725543e-45,2.4048803509902077e-45,,,,5.66349322658194e-41
7,Explosives,1,nkill,Hijacking,5409,2613,1.0210486031381554,4.8141985579589575,-3.793149954820802,0.3300123056400762,0.2835097849127164,0.6409636337347788,13.379255872909614,5.917886374799153,3.866523762397001e-43,3.866523762416081e-43,,,,7.804854394705604e-39
8,Military,5,nwound,Hijacking,5691,2183,2.2432432432432434,0.719381479529081,1.5238617637141623,0.3481152918596708,0.4662264173885271,0.237198635915781,3.268501541053305,6.424412003175346,5.511940043568508e-43,5.511940043608693e-43,,,,9.735464102023853e-39
9,Armed Assault,3,success,Hijacking,5983,4361,99.2891538637927,94.4175162961725,4.871637567620212,0.26629009820310773,0.21217717162970537,0.5798110178217186,22.960234271207383,8.402112788270871,1.8573372314337693e-40,1.8573372314558697e-40,,,,2.9160194533857152e-36
10,BombingExplosion,1,nkill,Hijacking,5511,2511,1.0398247710075668,4.735438214480131,-3.6956134434725643,0.3212551366192155,0.27857075308096896,0.611799068775455,13.266336837587552,6.0405672909399994,3.4916049981576137e-40,3.4916049981780534e-40,,,,4.933637862425589e-36
11,Haiti,4,propvalue,Hijacking,2496,3,5000633.666666667,105191.26207532051,4895442.404591346,7.6138388859876525,8.232291792622542,0.5653128158560332,594663.3729599393,8659705.330009812,2.1338279965035877e-38,2.1338279965005777e-38,,,,2.7409990536866512e-34
12,Democratic Revolutionary Alliance (ARDE),1,nkill,Hijacking,7923,99,18.21212121212121,3.39580966805503,14.816311544066181,1.286694449992364,1.3359961584154068,0.49140246454998376,11.090085439796066,30.15107292478611,9.938079191762056e-37,9.93807919182636e-37,,,,1.1702088248375539e-32
