ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
1,Al-Qaida,1,nkill,Hijacking,3359,4,750.25,0.5701101518309021,749.6798898481691,32.681737006343205,110.75992306955433,1.021864129938745,6.76851219350694,733.6395004814467,0.0,0.0,,,,0.0
2,Al-Qaida,2,nkillus,Hijacking,2088,4,726.75,0.2978927203065134,726.4521072796935,26.546225421228332,183.49457217270702,1.0164279981148867,3.95898417418009,714.7108389644957,0.0,0.0,,,,0.0
3,Al-Qaida,5,nwound,Hijacking,3331,4,4123.25,1.5124587211047733,4121.737541278895,28.855157291684613,175.76586393483453,0.877594087097077,23.450159484932957,4696.633217884204,0.0,0.0,,,,0.0
4,Hijacking,1,nkill,Hijacking,3345,18,166.94444444444446,0.5713004484304933,166.37314399601397,5.142186509704533,24.529644696018018,0.37397812110220774,6.782533789534338,444.8740036066024,2.6116806401106334e-98,2.611680640110976e-98,,,,1.068830301965417e-93
5,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,nkill,Hijacking,3344,19,159.10526315789474,0.5660885167464115,158.53917464114832,4.885697436378287,23.376284161763135,0.36557313943907627,6.7820519952641884,433.67293035917726,5.130535514371097e-94,5.130535514370083e-94,,,,1.679737327404765e-89
6,Hijacking,5,nwound,Hijacking,3317,18,917.3333333333334,1.5131142598733796,915.82021907346,4.809271284508065,38.97426910576628,0.34609936129319285,23.49807296162902,2646.119356162685,7.313642976574281e-87,7.313642976581004e-87,,,,1.9954055921105174e-82
7,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",5,nwound,Hijacking,3316,19,872.578947368421,1.4933655006031363,871.085581867818,4.561527587553517,37.07180426301486,0.33777202744007456,23.49725348374444,2578.9156919524976,8.689056382785297e-83,8.689056382799004e-83,,,,2.0319978998059957e-78
8,Rajneeshees,6,nwoundus,Hijacking,2064,4,194.0,0.8992248062015504,193.10077519379846,9.348548091526919,12.828991320474717,0.5197583420850453,15.051906293335387,371.52030002858976,4.539478131592598e-72,4.539478131591995e-72,,,,9.28890712677012e-68
9,Hijacking,2,nkillus,Hijacking,2076,16,181.8125,0.29865125240847784,181.5138487475915,4.67630060318335,45.717899634742395,0.3982376209441919,3.9703015711083482,455.7928211735386,8.19818793454865e-72,8.198187934546487e-72,,,,1.4911592943169555e-67
10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",2,nkillus,Hijacking,2075,17,171.52941176470588,0.29542168674698793,171.2339900779589,4.391484051552058,43.13079998536991,0.38622789001047875,3.970109298599654,443.3496246822392,1.1116233959748232e-67,1.1116233959753752e-67,,,,1.819727499211689e-63
