,sens assoc,res assoc,total
1-Number People Killed,35.0,53.0,88.0
3-Success,27.0,46.0,73.0
5-Number Wounded,24.0,46.0,70.0
2-Number US People Killed,9.0,19.0,28.0
10-Number Hostage Released,10.0,14.0,24.0
9-Days Kidnapped Hostage,3.0,11.0,14.0
8-Number Kidnapped US Hostage,13.0,0.0,13.0
7-Number Kidnapped Hostage,3.0,9.0,12.0
6-Number US Wounded,0.0,10.0,10.0
4-Damaged Property Value,0.0,6.0,6.0
11-Ransom Amount,1.0,3.0,4.0
12-Ransom Amount from US sources,0.0,4.0,4.0
13-Amount Ransom Paid,0.0,2.0,2.0
14-Amount Ransom Paid by US sources,0.0,2.0,2.0
