ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
1,International,2,Number US People Killed,Hijacking,36594,1037,0.40405014464802314,0.0031972454500737825,0.40085289919794936,1.9697758265416696,3.043863220845768,0.42452056361256,0.13169215241102994,0.9442484853661623,0.0,0.0,,,,0.0
2,Target type Unknown,3,Success,Hijacking,42572,2402,38.259783513738554,90.31757962980363,-52.05779611606508,1.6854423324082284,1.7603643508747622,1.0708780787989365,29.572171289538137,48.61225301618974,0.0,0.0,,,,0.0
3,United States,2,Number US People Killed,Hijacking,37495,136,0.6764705882352942,0.011841578877183625,0.6646290093581105,3.1638819472428645,3.6244908842702768,0.3862281759301628,0.18337168738442589,1.720819584841184,9.4693784287884e-292,9.469378428792585e-292,,,,1.0731962219298264e-286
4,Tourists,4,Damaged Property Value,Hijacking,9709,9,38888800.88888889,11255.309118343803,38877545.57977054,11.510278972180334,86.62597173336573,0.3332360107112759,448797.8004960847,116666699.66666667,2.384986468322979e-246,2.384986468360033e-246,,,,2.0272384981060282e-241
5,Nationality Unknown,3,Success,Hijacking,44128,846,50.23640661938534,88.25235678027556,-38.01595016089022,1.165273941902372,1.1806533357587194,0.759878002909791,32.199079111109405,50.029017836174006,4.382775712569833e-244,4.3827757119286505e-244,,,,2.9802874841114826e-239
6,Multinational,4,Damaged Property Value,Hijacking,9708,10,34999910.9,11256.478701071279,34988654.42129893,10.295893289549827,77.95682919354259,0.3161251683983815,448820.90232829977,110679749.41244212,1.4121468684693126e-220,1.412146868521722e-220,,,,8.002165588289758e-216
7,Group name Unknown,1,Number People Killed,Hijacking,22490,21547,1.2160393558267972,3.3400177856825257,-2.1239784298557285,0.3023838504731442,0.2291107337822857,0.6366096570909868,9.270532178008107,3.3363905278492516,2.3694447344282674e-218,2.369444734335552e-218,,,,1.150873156677268e-213
8,Haqqani Network,6,Number US Wounded,Hijacking,37480,78,2.423076923076923,0.010458911419423693,2.412618011657499,3.4274208146726264,8.685421900810315,0.16886847071129288,0.2777778718420589,14.286965479673514,1.7769649253546093e-198,1.7769649253074752e-198,,,,7.552100932556771e-194
9,Assassination,3,Success,Hijacking,40624,4350,73.44827586206897,89.04588420638046,-15.597608344311496,0.47688902393450455,0.4994098186736882,0.3531595217005918,31.232081871627944,44.16590063663958,1.9462730080371776e-194,1.9462730074214067e-194,,,,7.352586916925315e-190
10,Explosives,3,Success,Hijacking,22129,22845,83.3267673451521,91.88395318360523,-8.557185838453123,0.2612712100426374,0.3133495267003558,0.22957219482570942,27.308756226831747,37.27448720412206,1.767579068142042e-167,1.767579068271013e-167,,,,6.009768832121444e-163
11,Private Citizens & Property,3,Success,Hijacking,32629,12345,94.24058323207777,85.00107266542034,9.23951056665743,0.2819332938617063,0.2587617071213016,0.3965729975979074,35.70663785397797,23.29838547410517,1.2580848465234626e-155,1.2580848465094415e-155,,,,3.888625889211001e-151
