,sens assoc,res assoc,total
1-Number People Killed,15.0,51.0,66.0
3-Success,34.0,17.0,51.0
10-Number Hostage Released,10.0,18.0,28.0
9-Days Kidnapped Hostage,7.0,19.0,26.0
2-Number US People Killed,0.0,21.0,21.0
4-Damaged Property Value,0.0,15.0,15.0
5-Number Wounded,1.0,12.0,13.0
8-Number Kidnapped US Hostage,12.0,1.0,13.0
6-Number US Wounded,0.0,6.0,6.0
7-Number Kidnapped Hostage,0.0,4.0,4.0
12-Ransom Amount from US sources,0.0,2.0,2.0
13-Amount Ransom Paid,0.0,2.0,2.0
14-Amount Ransom Paid by US sources,2.0,0.0,2.0
11-Ransom Amount,0.0,1.0,1.0
