FEATURE,sens assoc,res assoc,total
Multinational,1.0,5.0,6.0
United States,1.0,5.0,6.0
Government (Diplomatic),1.0,4.0,5.0
Armed Assault,2.0,2.0,4.0
Assassination,3.0,1.0,4.0
Hostage Taking (Barricade Incident),1.0,3.0,4.0
Incendiary,2.0,2.0,4.0
Nairobi,1.0,3.0,4.0
Private Citizens & Property,2.0,2.0,4.0
Airports & Aircraft,0.0,3.0,3.0
Al-Qaida,0.0,3.0,3.0
Attack type Unknown,1.0,2.0,3.0
Chad,1.0,2.0,3.0
Explosives,2.0,1.0,3.0
FacilityInfrastructure Attack,2.0,1.0,3.0
France,0.0,3.0,3.0
Hostage Taking (Kidnapping),1.0,2.0,3.0
Khartoum,0.0,3.0,3.0
Lords Resistance Army (LRA),1.0,2.0,3.0
Melee,0.0,3.0,3.0
National Union for the Total Independence of Angola (UNITA),1.0,2.0,3.0
Sudan,2.0,1.0,3.0
Tourists,0.0,3.0,3.0
African National Congress (South Africa),1.0,1.0,2.0
Black September,1.0,1.0,2.0
BombingExplosion,1.0,1.0,2.0
Business,0.0,2.0,2.0
Central African Republic,0.0,2.0,2.0
Cuba,0.0,2.0,2.0
Eritrean Liberation Front,0.0,2.0,2.0
Ethiopia,0.0,2.0,2.0
Ethiopian Peoples Revolutionary Party,0.0,2.0,2.0
Firearms,0.0,2.0,2.0
Germany,0.0,2.0,2.0
Government (General),2.0,0.0,2.0
Group name Unknown,2.0,0.0,2.0
Hutu extremists,0.0,2.0,2.0
Islamic State in the Greater Sahara (ISGS),0.0,2.0,2.0
Janjaweed,1.0,1.0,2.0
Kenya,0.0,2.0,2.0
Maekel,0.0,2.0,2.0
NGO,0.0,2.0,2.0
Province Unknown,0.0,2.0,2.0
Revolutionary United Front (RUF),1.0,1.0,2.0
South Africa,1.0,1.0,2.0
South Sudan,1.0,1.0,2.0
Sudan Peoples Liberation Movement in Opposition (SPLM-IO),1.0,1.0,2.0
Tigray Peoples Liberation Front (TPLF),0.0,2.0,2.0
Zinder,0.0,2.0,2.0
Agadez,0.0,1.0,1.0
Al-Qaida in the Islamic Maghreb (AQIM),0.0,1.0,1.0
Al-Shabaab,1.0,0.0,1.0
