ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
1,Al-Qaida,5,Number Wounded,Hijacking,14114,15,172.33333333333334,1.115700722686694,171.21763261064666,16.690751855086162,20.995387031386638,0.8653874711627524,8.155011972615139,197.8508336625155,0.0,0.0,,,,0.0
2,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",1,Number People Killed,Hijacking,15724,3,45.0,0.4171330450267108,44.58286695497329,14.805923483607252,15.010524435633782,1.0124628304002872,2.9701072168496085,44.034077712607996,4.234365130671542e-142,4.234365130521059e-142,,,,6.163118447473402e-137
3,Target type Unknown,3,Success,Hijacking,16264,375,45.86666666666667,86.0120511559272,-40.14538448926053,1.1436905704791527,1.1573523556208931,0.8045903403095984,34.687262089446776,49.89543433222549,8.439572540592768e-105,8.43957254062296e-105,,,,8.189198555251146e-100
4,Al-Qaida,1,Number People Killed,Hijacking,15712,15,16.466666666666665,0.4103233197556008,16.056343346911063,5.29348464322037,5.441263096438677,0.6770493309836612,2.950848555259162,23.71517496898397,4.0563148268806156e-92,4.05631482679667e-92,,,,2.9519831152012763e-87
5,Scotland,1,Number People Killed,Hijacking,15707,20,13.75,0.4086712930540523,13.341328706945948,4.393717630447846,6.070444379402738,0.22118834526238504,2.1977515768390226,60.31659891989234,7.767746158114459e-85,7.767746157858191e-85,,,,4.522381813105039e-80
6,Ireland,3,Success,Hijacking,16298,341,48.38709677419355,85.87556755430114,-37.48847078010759,1.064851698528879,1.0763762042086473,0.7490590701886697,34.82840909481936,50.04741584754479,1.9796388322854316e-83,1.9796388322506204e-83,,,,9.60454773446926e-79
7,Scotland,2,Number US People Killed,Hijacking,3834,11,17.181818181818183,0.02138758476786646,17.16043059705032,5.81290992621715,33.294399622107996,0.30113602926640426,0.5154149283910057,56.985644125197325,6.367709809470073e-79,6.367709809466173e-79,,,,2.648057607908004e-74
8,Islamic State of Iraq and the Levant (ISIL),5,Number Wounded,Hijacking,14114,15,55.666666666666664,1.2396910868641065,54.42697557980256,4.716167304158822,4.787933516479537,0.8471384179791115,11.367529518208833,64.24803128353058,1.300452762713739e-73,1.3004527627115e-73,,,,4.73202249031647e-69
9,Multinational,1,Number People Killed,Hijacking,15680,47,8.382978723404255,0.4017857142857143,7.981193009118541,2.623302050018674,2.815893792455979,0.3866594191453082,2.834337371139793,20.64140329688742,2.1615272966686523e-71,2.1615272966234133e-71,,,,6.991339956078618e-67
10,Multinational,5,Number Wounded,Hijacking,14083,46,31.543478260869566,1.198679258680679,30.344799002188886,2.627902145244905,2.825926437009103,0.3992664413985573,10.738000326117879,76.00137616348773,4.5471330942741334e-70,4.547133094275056e-70,,,,1.3236704437434689e-65
11,Explosives,3,Success,Hijacking,7877,8762,80.68934033325725,90.02158182049003,-9.332241487232778,0.2643877270193982,0.3113538419872349,0.23640385089446625,29.973105286477846,39.475843781406134,1.795052590310604e-64,1.7950525903648092e-64,,,,4.750361900501782e-60
12,Islamic State of Iraq and the Levant (ISIL),1,Number People Killed,Hijacking,15712,15,13.266666666666667,0.41337830957230143,12.853288357094366,4.217318831063644,4.332477443557182,0.545068167755384,2.9667294347275748,23.58106585094632,1.9924089496831145e-59,1.992408949638186e-59,,,,4.833252043663966e-55
13,Dublin,3,Success,Hijacking,16494,145,40.0,85.503819570753,-45.503819570752995,1.2871750453656963,1.2924541228810476,0.9256343797882193,35.207299636538814,49.15960401250875,2.337865246915993e-53,2.3378652469052763e-53,,,,5.235019795185585e-49
14,Transportation,5,Number Wounded,Hijacking,13714,415,8.983132530120482,1.0648971853580282,7.918235344762454,0.6826632380706861,1.0119700913673915,0.15640869056532516,7.82457447340484,50.62529016861342,1.8664927492749797e-42,1.866492749274032e-42,,,,3.880971709383362e-38
15,Firearms,1,Number People Killed,Hijacking,12068,3659,0.9904345449576387,0.25439177991382167,0.736042765043817,0.2407191465751216,0.2361786955151656,0.25779010013257286,3.1164655365646814,2.855201827631452,4.453291824657154e-37,4.453291824575046e-37,,,,8.642355000891972e-33
16,United States,6,Number US Wounded,Hijacking,3759,81,1.8271604938271604,0.01888800212822559,1.8082724916989348,1.3276988171763622,4.853431799879327,0.19912075417672503,0.3725760588093346,9.081285871858663,1.0521281828678535e-31,1.0521281828687718e-31,,,,1.9142157127068715e-27
17,England,3,Success,Hijacking,15944,695,69.7841726618705,85.77521324636227,-15.99104058449177,0.45096289017863994,0.45778264089857157,0.3479912678709463,34.931513683225965,45.95241910041863,3.49965489566383e-31,3.4996548957382127e-31,,,,5.9926443538199624e-27
18,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",5,Number Wounded,Hijacking,14100,29,26.379310344827587,1.2458865248226951,25.133423820004893,2.1628898952100384,2.2740759317743184,0.3088743636685454,11.052148025855436,81.37102581610073,3.769613020458268e-31,3.7696130204534695e-31,,,,6.096301945855584e-27
19,Airports & Aircraft,1,Number People Killed,Hijacking,15423,304,2.414473684210526,0.3864358425727809,2.028037841637745,0.6625954639206098,1.0735240004992836,0.11621267950537147,1.8891406626163254,17.451089246625685,3.452296721711641e-30,3.452296721643817e-30,,,,5.289281977213237e-26
20,FacilityInfrastructure Attack,3,Success,Hijacking,13983,2656,92.05572289156626,83.78745619681041,8.268266694755852,0.2330745425126264,0.22432819535243287,0.30568921390205817,36.8579022434782,27.04795039776895,4.207080387034046e-28,4.207080387127866e-28,,,,6.12340550346461e-24
21,France,3,Success,Hijacking,14180,2459,92.35461569743798,83.85049365303244,8.504122044405534,0.23971713883860263,0.23109030852956516,0.3199721622515618,36.799994333460056,26.577693461094288,6.375262259578999e-28,6.375262259442256e-28,,,,8.837327827255431e-24
22,Airports & Aircraft,2,Number US People Killed,Hijacking,3794,51,4.686274509803922,0.008434370057986295,4.6778401397459355,1.536488377881637,39.30320553106467,0.17539082890363591,0.11901930329953977,26.670950636284736,2.8865345958488307e-27,2.8865345958465416e-27,,,,3.819410094776947e-23
23,Madrid,5,Number Wounded,Hijacking,13744,385,7.511688311688312,1.1233993015133876,6.388289010174924,0.5493211952285091,0.719996558900166,0.13751726030621916,8.872666030422957,46.45445230620273,2.6993793689621494e-26,2.699379368958523e-26,,,,3.416475366538374e-22
24,Corsica.1,3,Success,Hijacking,15294,1345,94.86988847583643,84.24872499019223,10.621163485644203,0.299306634599591,0.2915535739442405,0.48126356932406594,36.42954309205449,22.06932783331515,8.085711155373847e-26,8.085711155386345e-26,,,,9.807293822220688e-22
25,Incendiary,3,Success,Hijacking,13506,3133,91.09479731886371,83.71834740115504,7.376449917708669,0.207864515463986,0.19978908335201945,0.25894610701139487,36.9211860525517,28.486429098484457,1.2509426043311052e-25,1.2509426043416732e-25,,,,1.422469985232081e-21
26,Airports & Aircraft,10,Number Hostage Released,Hijacking,215,19,86.94736842105263,0.8093023255813954,86.13806609547123,2.8346724942681933,3.4322659353456566,1.2966093896647866,25.096559450250304,66.43331968908583,1.270498784473958e-25,1.2704987844738613e-25,,,,1.422469985232081e-21
27,Fake Weapons,5,Number Wounded,Hijacking,14114,15,32.53333333333333,1.2642766047895706,31.26905672854376,2.6883427705750607,2.818327835551518,0.28051876698467765,11.09489688676503,111.46868020509916,2.861401971108203e-25,2.861401971105915e-25,,,,3.0850152362553033e-21
28,Firearms,3,Success,Hijacking,12878,3761,90.3749002924754,83.56887715483771,6.806023137637695,0.1917740019020034,0.18366256862205896,0.23073269715492048,37.05721415474231,29.497436737663314,5.158130827082042e-25,5.158130827228436e-25,,,,5.3626138707364204e-21
29,Egypt,1,Number People Killed,Hijacking,15708,19,7.631578947368421,0.4169213139801375,7.214657633388284,2.3552500785227592,2.412736271840641,0.3630491356381129,2.9902388079424562,19.872399973373987,1.2746366062448948e-24,1.2746366062189608e-24,,,,1.2794714347253086e-20
30,Business,3,Success,Hijacking,12409,4230,89.64539007092199,83.56031912321701,6.085070947704978,0.17138595326405084,0.1641728773701633,0.19970247754680653,37.065019783900524,30.470683300755496,7.074764878331858e-22,7.074764878437362e-22,,,,6.86488018704372e-18
31,Assassination,1,Number People Killed,Hijacking,12791,2936,0.9107629427792916,0.3142834805722774,0.5964794622070142,0.19463167123771427,0.1765550926066914,0.7817660722135522,3.378432496058218,0.7629897016611333,2.1582303498598833e-21,2.1582303498117802e-21,,,,2.0266479188071267e-17
32,Dissident Republicans,3,Success,Hijacking,16544,95,51.578947368421055,85.29980657640232,-33.72085920798126,0.9495347784932535,0.9522477568819417,0.6711929799218332,35.41185470302129,50.240184591782196,3.06824104631359e-20,3.068241046376662e-20,,,,2.7911405268757695e-16
33,Armed Assault,3,Success,Hijacking,14892,1747,92.32970807097882,84.26000537201182,8.069702698967006,0.22720190263471643,0.22157967538902185,0.30314926820635757,36.41896615652691,26.61956846115115,2.8846732165773445e-19,2.884673216653854e-19,,,,2.5446314344482938e-15
34,BombingExplosion,3,Success,Hijacking,8116,8523,82.71735304470256,87.61705273533761,-4.899699690635046,0.13794406769580828,0.1487429441278121,0.129580765009115,32.94072010854393,37.81193675072369,6.477923665793041e-19,6.477923665849713e-19,,,,5.54624582096721e-15
35,Assassination,3,Success,Hijacking,13694,2945,80.0,86.20563750547686,-6.205637505476858,0.1746839872712428,0.17995001798651827,0.15511459568280733,34.48533973440214,40.00679290146699,8.673251772798954e-18,8.673251773013396e-18,,,,7.213667403212e-14
36,Fake Weapons,1,Number People Killed,Hijacking,15712,15,7.2,0.4191700610997963,6.780829938900204,2.2113880116428097,2.2643289822979975,0.3041530495538142,2.9946310769818214,22.29413760226153,1.2255746548067603e-17,1.225574654780268e-17,,,,9.910132833514888e-14
37,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,Number People Killed,Hijacking,15698,29,5.241379310344827,0.41674098611288063,4.824638324231946,1.573346839129033,1.612724386667375,0.29711064773715956,2.9916074712566676,16.238523799053095,2.786978423191937e-17,2.786978423133316e-17,,,,2.1926741053354279e-13
38,United States,2,Number US People Killed,Hijacking,3759,86,2.813953488372093,0.007714817770683693,2.8062386706014095,0.9161110957764398,19.140844482344956,0.1363984337251042,0.14660997184266425,20.57383354017884,6.198138279515428e-17,6.198138279514079e-17,,,,4.748100139911969e-13
39,Corsican National Liberation Front (FLNC),3,Success,Hijacking,16000,639,96.55712050078247,84.65,11.907120500782469,0.3351267658209113,0.3303128776186742,0.6525497006041153,36.04800571695694,18.24707066719843,1.0543041007618915e-16,1.0543041007759461e-16,,,,7.869433941945586e-13
40,Hijacking,10,Number Hostage Released,Hijacking,206,28,59.82142857142857,0.7330097087378641,59.0884188626907,1.7729461181902235,2.306960994621498,0.8747181401796285,25.613098357731577,67.55138158053582,3.1402553750007456e-16,3.1402553750008225e-16,,,,2.2853208491568484e-12
41,Norway,1,Number People Killed,Hijacking,15718,9,8.777777777777779,0.4208550706196717,8.356922707158107,2.7248282169931977,2.7630161069025454,0.3676456988222909,3.02456532420528,22.73091384974314,3.258349561299788e-16,3.2583495612321566e-16,,,,2.313428188474831e-12
42,Black September,3,Success,Hijacking,16592,47,44.680851063829785,85.22179363548697,-40.54094257165719,1.1407538119156435,1.1423378195764327,0.806724720443977,35.489451436256715,50.25375018797698,6.078861185526408e-15,6.078861185575304e-15,,,,4.213229740764217e-11
43,Meibion Glyndwr,3,Success,Hijacking,16608,31,35.483870967741936,85.19990366088632,-49.716032693144385,1.398907078172582,1.40001138254928,1.0221781630139353,35.51116320398516,48.63734571139201,7.584017132053429e-15,7.584017132112158e-15,,,,5.134203225948486e-11
44,Group name Unknown,3,Success,Hijacking,11587,5052,81.88836104513064,86.51074480020714,-4.622383755076498,0.13006033249255827,0.13530637088274916,0.12001431369098912,34.16235115109297,38.515270494968924,1.2847455755623552e-14,1.2847455755743104e-14,,,,8.499759932947313e-11
